WAFER_ID,CLASS,STEP_ID,EQP_ID
W0004,CLASS_05,STEP_017,EQP_03
W0004,CLASS_05,STEP_018,EQP_08
W0004,CLASS_05,STEP_019,EQP_07
W0005,CLASS_09,STEP_000,EQP_08
W0005,CLASS_09,STEP_001,EQP_08
W0005,CLASS_09,STEP_002,EQP_06
W0005,CLASS_09,STEP_003,EQP_07
W0005,CLASS_09,STEP_004,EQP_08
W0005,CLASS_09,STEP_005,EQP_02
W0005,CLASS_09,STEP_006,EQP_04
W0005,CLASS_09,STEP_007,EQP_05
W0005,CLASS_09,STEP_008,EQP_02
W0005,CLASS_09,STEP_009,EQP_03
W0005,CLASS_09,STEP_010,EQP_02
W0005,CLASS_09,STEP_011,EQP_09
W0005,CLASS_09,STEP_012,EQP_07
W0005,CLASS_09,STEP_013,EQP_03
W0005,CLASS_09,STEP_014,EQP_07
W0005,CLASS_09,STEP_015,EQP_05
W0005,CLASS_09,STEP_016,EQP_01
W0005,CLASS_09,STEP_017,EQP_03
W0005,CLASS_09,STEP_018,EQP_00
W0005,CLASS_09,STEP_019,EQP_07
W0006,CLASS_05,STEP_000,EQP_08
W0006,CLASS_05,STEP_001,EQP_06
W0006,CLASS_05,STEP_002,EQP_04
W0006,CLASS_05,STEP_003,EQP_04
W0006,CLASS_05,STEP_004,EQP_05
W0006,CLASS_05,STEP_005,EQP_07
W0006,CLASS_05,STEP_006,EQP_01
W0006,CLASS_05,STEP_007,EQP_03
W0006,CLASS_05,STEP_008,EQP_00
W0006,CLASS_05,STEP_009,EQP_06
W0006,CLASS_05,STEP_010,EQP_04
W0006,CLASS_05,STEP_011,EQP_07
W0006,CLASS_05,STEP_012,EQP_04
W0006,CLASS_05,STEP_013,EQP_07
W0006,CLASS_05,STEP_014,EQP_00
W0006,CLASS_05,STEP_015,EQP_06
W0006,CLASS_05,STEP_016,EQP_09
W0006,CLASS_05,STEP_017,EQP_03
W0006,CLASS_05,STEP_018,EQP_01
W0006,CLASS_05,STEP_019,EQP_03
W0007,CLASS_03,STEP_000,EQP_03
W0007,CLASS_03,STEP_001,EQP_01
W0007,CLASS_03,STEP_002,EQP_03
W0007,CLASS_03,STEP_003,EQP_09
W0007,CLASS_03,STEP_004,EQP_00
W0007,CLASS_03,STEP_005,EQP_09
W0007,CLASS_03,STEP_006,EQP_04
W0007,CLASS_03,STEP_007,EQP_06
W0007,CLASS_03,STEP_008,EQP_00
W0007,CLASS_03,STEP_009,EQP_00
W0007,CLASS_03,STEP_010,EQP_06
W0007,CLASS_03,STEP_011,EQP_00
W0007,CLASS_03,STEP_012,EQP_07
W0007,CLASS_03,STEP_013,EQP_01
W0007,CLASS_03,STEP_014,EQP_02
W0007,CLASS_03,STEP_015,EQP_08
W0007,CLASS_03,STEP_016,EQP_08
W0007,CLASS_03,STEP_017,EQP_07
W0007,CLASS_03,STEP_018,EQP_09
W0007,CLASS_03,STEP_019,EQP_08
W0008,CLASS_08,STEP_000,EQP_09
W0008,CLASS_08,STEP_001,EQP_04
W0008,CLASS_08,STEP_002,EQP_00
W0008,CLASS_08,STEP_003,EQP_03
W0008,CLASS_08,STEP_004,EQP_00
W0008,CLASS_08,STEP_005,EQP_07
W0008,CLASS_08,STEP_006,EQP_09
W0008,CLASS_08,STEP_007,EQP_01
W0008,CLASS_08,STEP_008,EQP_03
W0008,CLASS_08,STEP_009,EQP_07
W0008,CLASS_08,STEP_010,EQP_09
W0008,CLASS_08,STEP_011,EQP_08
W0008,CLASS_08,STEP_012,EQP_02
W0008,CLASS_08,STEP_013,EQP_03
W0008,CLASS_08,STEP_014,EQP_06
W0008,CLASS_08,STEP_015,EQP_00
W0008,CLASS_08,STEP_016,EQP_02
W0008,CLASS_08,STEP_017,EQP_05
W0008,CLASS_08,STEP_018,EQP_09
W0008,CLASS_08,STEP_019,EQP_02
W0009,CLASS_08,STEP_000,EQP_01
W0009,CLASS_08,STEP_001,EQP_03
W0009,CLASS_08,STEP_002,EQP_08
W0009,CLASS_08,STEP_003,EQP_03
W0009,CLASS_08,STEP_004,EQP_08
W0009,CLASS_08,STEP_005,EQP_06
W0009,CLASS_08,STEP_006,EQP_07
W0009,CLASS_08,STEP_007,EQP_01
W0009,CLASS_08,STEP_008,EQP_03
W0009,CLASS_08,STEP_009,EQP_09
W0009,CLASS_08,STEP_010,EQP_01
W0009,CLASS_08,STEP_011,EQP_04
W0009,CLASS_08,STEP_012,EQP_09
W0009,CLASS_08,STEP_013,EQP_03
W0009,CLASS_08,STEP_014,EQP_08
W0009,CLASS_08,STEP_015,EQP_02
W0009,CLASS_08,STEP_016,EQP_00
W0009,CLASS_08,STEP_017,EQP_08
W0009,CLASS_08,STEP_018,EQP_02
W0009,CLASS_08,STEP_019,EQP_01
W0010,CLASS_07,STEP_000,EQP_09
W0010,CLASS_07,STEP_001,EQP_01
W0010,CLASS_07,STEP_002,EQP_05
W0010,CLASS_07,STEP_003,EQP_00
W0010,CLASS_07,STEP_004,EQP_08
W0010,CLASS_07,STEP_005,EQP_07
W0010,CLASS_07,STEP_006,EQP_06
W0010,CLASS_07,STEP_007,EQP_05
W0010,CLASS_07,STEP_008,EQP_03
W0010,CLASS_07,STEP_009,EQP_03
W0010,CLASS_07,STEP_010,EQP_03
W0010,CLASS_07,STEP_011,EQP_04
W0010,CLASS_07,STEP_012,EQP_05
W0010,CLASS_07,STEP_013,EQP_03
W0010,CLASS_07,STEP_014,EQP_09
W0010,CLASS_07,STEP_015,EQP_00
W0010,CLASS_07,STEP_016,EQP_05
W0010,CLASS_07,STEP_017,EQP_09
W0010,CLASS_07,STEP_018,EQP_07
W0010,CLASS_07,STEP_019,EQP_03
W0011,CLASS_05,STEP_000,EQP_08
W0011,CLASS_05,STEP_001,EQP_04
W0011,CLASS_05,STEP_002,EQP_00
W0011,CLASS_05,STEP_003,EQP_04
W0011,CLASS_05,STEP_004,EQP_06
W0011,CLASS_05,STEP_005,EQP_00
W0011,CLASS_05,STEP_006,EQP_07
W0011,CLASS_05,STEP_007,EQP_03
W0011,CLASS_05,STEP_008,EQP_07
W0011,CLASS_05,STEP_009,EQP_07
W0011,CLASS_05,STEP_010,EQP_09
W0011,CLASS_05,STEP_011,EQP_01
W0011,CLASS_05,STEP_012,EQP_08
W0011,CLASS_05,STEP_013,EQP_02
W0011,CLASS_05,STEP_014,EQP_01
W0011,CLASS_05,STEP_015,EQP_03
W0011,CLASS_05,STEP_016,EQP_08
W0011,CLASS_05,STEP_017,EQP_07
W0011,CLASS_05,STEP_018,EQP_08
W0011,CLASS_05,STEP_019,EQP_01
W0012,CLASS_05,STEP_000,EQP_08
W0012,CLASS_05,STEP_001,EQP_04
W0012,CLASS_05,STEP_002,EQP_06
W0012,CLASS_05,STEP_003,EQP_04
W0012,CLASS_05,STEP_004,EQP_04
W0012,CLASS_05,STEP_005,EQP_07
W0012,CLASS_05,STEP_006,EQP_08
W0012,CLASS_05,STEP_007,EQP_03
W0012,CLASS_05,STEP_008,EQP_06
W0012,CLASS_05,STEP_009,EQP_00
W0012,CLASS_05,STEP_010,EQP_04
W0012,CLASS_05,STEP_011,EQP_07
W0012,CLASS_05,STEP_012,EQP_08
W0012,CLASS_05,STEP_013,EQP_04
W0012,CLASS_05,STEP_014,EQP_08
W0012,CLASS_05,STEP_015,EQP_03
W0012,CLASS_05,STEP_016,EQP_01
W0012,CLASS_05,STEP_017,EQP_09
W0012,CLASS_05,STEP_018,EQP_07
W0012,CLASS_05,STEP_019,EQP_06
W0013,CLASS_07,STEP_000,EQP_06
W0013,CLASS_07,STEP_001,EQP_09
W0013,CLASS_07,STEP_002,EQP_03
W0013,CLASS_07,STEP_003,EQP_00
W0013,CLASS_07,STEP_004,EQP_06
W0013,CLASS_07,STEP_005,EQP_00
W0013,CLASS_07,STEP_006,EQP_01
W0013,CLASS_07,STEP_007,EQP_05
W0013,CLASS_07,STEP_008,EQP_01
W0013,CLASS_07,STEP_009,EQP_04
W0013,CLASS_07,STEP_010,EQP_02
W0013,CLASS_07,STEP_011,EQP_09
W0013,CLASS_07,STEP_012,EQP_06
W0013,CLASS_07,STEP_013,EQP_05
W0013,CLASS_07,STEP_014,EQP_07
W0013,CLASS_07,STEP_015,EQP_00
W0013,CLASS_07,STEP_016,EQP_06
W0013,CLASS_07,STEP_017,EQP_01
W0013,CLASS_07,STEP_018,EQP_01
W0013,CLASS_07,STEP_019,EQP_03
W0014,CLASS_02,STEP_000,EQP_00
W0014,CLASS_02,STEP_001,EQP_00
W0014,CLASS_02,STEP_002,EQP_04
W0014,CLASS_02,STEP_003,EQP_08
W0014,CLASS_02,STEP_004,EQP_04
W0014,CLASS_02,STEP_005,EQP_08
W0014,CLASS_02,STEP_006,EQP_05
W0014,CLASS_02,STEP_007,EQP_08
W0014,CLASS_02,STEP_008,EQP_01
W0014,CLASS_02,STEP_009,EQP_09
W0014,CLASS_02,STEP_010,EQP_07
W0014,CLASS_02,STEP_011,EQP_07
W0014,CLASS_02,STEP_012,EQP_06
W0014,CLASS_02,STEP_013,EQP_00
W0014,CLASS_02,STEP_014,EQP_06
W0014,CLASS_02,STEP_015,EQP_00
W0014,CLASS_02,STEP_016,EQP_06
W0014,CLASS_02,STEP_017,EQP_08
W0014,CLASS_02,STEP_018,EQP_05
W0014,CLASS_02,STEP_019,EQP_02
W0015,CLASS_07,STEP_000,EQP_05
W0015,CLASS_07,STEP_001,EQP_09
W0015,CLASS_07,STEP_002,EQP_06
W0015,CLASS_07,STEP_003,EQP_00
W0015,CLASS_07,STEP_004,EQP_09
W0015,CLASS_07,STEP_005,EQP_05
W0015,CLASS_07,STEP_006,EQP_06
W0015,CLASS_07,STEP_007,EQP_05
W0015,CLASS_07,STEP_008,EQP_07
W0015,CLASS_07,STEP_009,EQP_09
W0015,CLASS_07,STEP_010,EQP_00
W0015,CLASS_07,STEP_011,EQP_01
W0015,CLASS_07,STEP_012,EQP_04
W0015,CLASS_07,STEP_013,EQP_08
W0015,CLASS_07,STEP_014,EQP_05
W0015,CLASS_07,STEP_015,EQP_06
W0015,CLASS_07,STEP_016,EQP_04
W0015,CLASS_07,STEP_017,EQP_08
W0015,CLASS_07,STEP_018,EQP_09
W0015,CLASS_07,STEP_019,EQP_04
W0016,CLASS_06,STEP_000,EQP_05
W0016,CLASS_06,STEP_001,EQP_04
W0016,CLASS_06,STEP_002,EQP_00
W0016,CLASS_06,STEP_003,EQP_02
W0016,CLASS_06,STEP_004,EQP_01
W0016,CLASS_06,STEP_005,EQP_01
W0016,CLASS_06,STEP_006,EQP_04
W0016,CLASS_06,STEP_007,EQP_04
W0016,CLASS_06,STEP_008,EQP_05
W0016,CLASS_06,STEP_009,EQP_00
W0016,CLASS_06,STEP_010,EQP_02
W0016,CLASS_06,STEP_011,EQP_05
W0016,CLASS_06,STEP_012,EQP_00
W0016,CLASS_06,STEP_013,EQP_02
W0016,CLASS_06,STEP_014,EQP_03
W0016,CLASS_06,STEP_015,EQP_07
W0016,CLASS_06,STEP_016,EQP_00
W0016,CLASS_06,STEP_017,EQP_09
W0016,CLASS_06,STEP_018,EQP_01
W0016,CLASS_06,STEP_019,EQP_00
W0017,CLASS_03,STEP_000,EQP_08
W0017,CLASS_03,STEP_001,EQP_05
W0017,CLASS_03,STEP_002,EQP_02
W0017,CLASS_03,STEP_003,EQP_09
W0017,CLASS_03,STEP_004,EQP_06
W0017,CLASS_03,STEP_005,EQP_03
W0017,CLASS_03,STEP_006,EQP_01
W0017,CLASS_03,STEP_007,EQP_06
W0017,CLASS_03,STEP_008,EQP_01
W0017,CLASS_03,STEP_009,EQP_06
W0017,CLASS_03,STEP_010,EQP_07
W0017,CLASS_03,STEP_011,EQP_04
W0017,CLASS_03,STEP_012,EQP_08
W0017,CLASS_03,STEP_013,EQP_02
W0017,CLASS_03,STEP_014,EQP_00
W0017,CLASS_03,STEP_015,EQP_05
W0017,CLASS_03,STEP_016,EQP_03
W0017,CLASS_03,STEP_017,EQP_00
W0017,CLASS_03,STEP_018,EQP_05
W0017,CLASS_03,STEP_019,EQP_01
W0018,CLASS_02,STEP_000,EQP_04
W0018,CLASS_02,STEP_001,EQP_01
W0018,CLASS_02,STEP_002,EQP_00
W0018,CLASS_02,STEP_003,EQP_01
W0018,CLASS_02,STEP_004,EQP_01
W0018,CLASS_02,STEP_005,EQP_00
W0018,CLASS_02,STEP_006,EQP_08
W0018,CLASS_02,STEP_007,EQP_08
W0018,CLASS_02,STEP_008,EQP_01
W0018,CLASS_02,STEP_009,EQP_06
W0018,CLASS_02,STEP_010,EQP_02
W0018,CLASS_02,STEP_011,EQP_02
W0018,CLASS_02,STEP_012,EQP_06
W0018,CLASS_02,STEP_013,EQP_08
W0018,CLASS_02,STEP_014,EQP_09
W0018,CLASS_02,STEP_015,EQP_00
W0018,CLASS_02,STEP_016,EQP_00
W0018,CLASS_02,STEP_017,EQP_04
W0018,CLASS_02,STEP_018,EQP_03
W0018,CLASS_02,STEP_019,EQP_04
W0019,CLASS_08,STEP_000,EQP_04
W0019,CLASS_08,STEP_001,EQP_08
W0019,CLASS_08,STEP_002,EQP_00
W0019,CLASS_08,STEP_003,EQP_03
W0019,CLASS_08,STEP_004,EQP_09
W0019,CLASS_08,STEP_005,EQP_04
W0019,CLASS_08,STEP_006,EQP_06
W0019,CLASS_08,STEP_007,EQP_06
W0019,CLASS_08,STEP_008,EQP_02
W0019,CLASS_08,STEP_009,EQP_08
W0019,CLASS_08,STEP_010,EQP_08
W0019,CLASS_08,STEP_011,EQP_03
W0019,CLASS_08,STEP_012,EQP_07
W0019,CLASS_08,STEP_013,EQP_06
W0019,CLASS_08,STEP_014,EQP_08
W0019,CLASS_08,STEP_015,EQP_03
W0019,CLASS_08,STEP_016,EQP_04
W0019,CLASS_08,STEP_017,EQP_03
W0019,CLASS_08,STEP_018,EQP_07
W0019,CLASS_08,STEP_019,EQP_05
W0020,CLASS_03,STEP_000,EQP_05
W0020,CLASS_03,STEP_001,EQP_06
W0020,CLASS_03,STEP_002,EQP_00
W0020,CLASS_03,STEP_003,EQP_00
W0020,CLASS_03,STEP_004,EQP_02
W0020,CLASS_03,STEP_005,EQP_09
W0020,CLASS_03,STEP_006,EQP_07
W0020,CLASS_03,STEP_007,EQP_06
W0020,CLASS_03,STEP_008,EQP_02
W0020,CLASS_03,STEP_009,EQP_09
W0020,CLASS_03,STEP_010,EQP_00
W0020,CLASS_03,STEP_011,EQP_07
W0020,CLASS_03,STEP_012,EQP_04
W0020,CLASS_03,STEP_013,EQP_09
W0020,CLASS_03,STEP_014,EQP_06
W0020,CLASS_03,STEP_015,EQP_04
W0020,CLASS_03,STEP_016,EQP_07
W0020,CLASS_03,STEP_017,EQP_06
W0020,CLASS_03,STEP_018,EQP_01
W0020,CLASS_03,STEP_019,EQP_00
W0021,CLASS_01,STEP_000,EQP_05
W0021,CLASS_01,STEP_001,EQP_09
W0021,CLASS_01,STEP_002,EQP_00
W0021,CLASS_01,STEP_003,EQP_06
W0021,CLASS_01,STEP_004,EQP_03
W0021,CLASS_01,STEP_005,EQP_01
W0021,CLASS_01,STEP_006,EQP_05
W0021,CLASS_01,STEP_007,EQP_00
W0021,CLASS_01,STEP_008,EQP_07
W0021,CLASS_01,STEP_009,EQP_00
W0021,CLASS_01,STEP_010,EQP_00
W0021,CLASS_01,STEP_011,EQP_02
W0021,CLASS_01,STEP_012,EQP_05
W0021,CLASS_01,STEP_013,EQP_02
W0021,CLASS_01,STEP_014,EQP_07
W0021,CLASS_01,STEP_015,EQP_07
W0021,CLASS_01,STEP_016,EQP_05
W0021,CLASS_01,STEP_017,EQP_09
W0021,CLASS_01,STEP_018,EQP_09
W0021,CLASS_01,STEP_019,EQP_09
W0022,CLASS_08,STEP_000,EQP_05
W0022,CLASS_08,STEP_001,EQP_01
W0022,CLASS_08,STEP_002,EQP_07
W0022,CLASS_08,STEP_003,EQP_03
W0022,CLASS_08,STEP_004,EQP_03
W0022,CLASS_08,STEP_005,EQP_00
W0022,CLASS_08,STEP_006,EQP_06
W0022,CLASS_08,STEP_007,EQP_01
W0022,CLASS_08,STEP_008,EQP_03
W0022,CLASS_08,STEP_009,EQP_09
W0022,CLASS_08,STEP_010,EQP_06
W0022,CLASS_08,STEP_011,EQP_03
W0022,CLASS_08,STEP_012,EQP_04
W0022,CLASS_08,STEP_013,EQP_02
W0022,CLASS_08,STEP_014,EQP_02
W0022,CLASS_08,STEP_015,EQP_01
W0022,CLASS_08,STEP_016,EQP_05
W0022,CLASS_08,STEP_017,EQP_02
W0022,CLASS_08,STEP_018,EQP_04
W0022,CLASS_08,STEP_019,EQP_09
W0023,CLASS_01,STEP_000,EQP_00
W0023,CLASS_01,STEP_001,EQP_05
W0023,CLASS_01,STEP_002,EQP_05
W0023,CLASS_01,STEP_003,EQP_06
W0023,CLASS_01,STEP_004,EQP_02
W0023,CLASS_01,STEP_005,EQP_06
W0023,CLASS_01,STEP_006,EQP_05
W0023,CLASS_01,STEP_007,EQP_09
W0023,CLASS_01,STEP_008,EQP_09
W0023,CLASS_01,STEP_009,EQP_07
W0023,CLASS_01,STEP_010,EQP_09
W0023,CLASS_01,STEP_011,EQP_08
W0023,CLASS_01,STEP_012,EQP_07
W0023,CLASS_01,STEP_013,EQP_05
W0023,CLASS_01,STEP_014,EQP_00
W0023,CLASS_01,STEP_015,EQP_05
W0023,CLASS_01,STEP_016,EQP_05
W0023,CLASS_01,STEP_017,EQP_07
W0023,CLASS_01,STEP_018,EQP_04
W0023,CLASS_01,STEP_019,EQP_05
W0024,CLASS_03,STEP_000,EQP_08
W0024,CLASS_03,STEP_001,EQP_03
W0024,CLASS_03,STEP_002,EQP_09
W0024,CLASS_03,STEP_003,EQP_02
W0024,CLASS_03,STEP_004,EQP_07
W0024,CLASS_03,STEP_005,EQP_05
W0024,CLASS_03,STEP_006,EQP_06
W0024,CLASS_03,STEP_007,EQP_06
W0024,CLASS_03,STEP_008,EQP_06
W0024,CLASS_03,STEP_009,EQP_08
W0024,CLASS_03,STEP_010,EQP_04
W0024,CLASS_03,STEP_011,EQP_00
W0024,CLASS_03,STEP_012,EQP_04
W0024,CLASS_03,STEP_013,EQP_04
W0024,CLASS_03,STEP_014,EQP_09
W0024,CLASS_03,STEP_015,EQP_05
W0024,CLASS_03,STEP_016,EQP_04
W0024,CLASS_03,STEP_017,EQP_00
W0024,CLASS_03,STEP_018,EQP_02
W0024,CLASS_03,STEP_019,EQP_01
W0025,CLASS_01,STEP_000,EQP_08
W0025,CLASS_01,STEP_001,EQP_04
W0025,CLASS_01,STEP_002,EQP_06
W0025,CLASS_01,STEP_003,EQP_06
W0025,CLASS_01,STEP_004,EQP_08
W0025,CLASS_01,STEP_005,EQP_08
W0025,CLASS_01,STEP_006,EQP_07
W0025,CLASS_01,STEP_007,EQP_00
W0025,CLASS_01,STEP_008,EQP_04
W0025,CLASS_01,STEP_009,EQP_04
W0025,CLASS_01,STEP_010,EQP_01
W0025,CLASS_01,STEP_011,EQP_00
W0025,CLASS_01,STEP_012,EQP_06
W0025,CLASS_01,STEP_013,EQP_05
W0025,CLASS_01,STEP_014,EQP_03
W0025,CLASS_01,STEP_015,EQP_05
W0025,CLASS_01,STEP_016,EQP_01
W0025,CLASS_01,STEP_017,EQP_02
W0025,CLASS_01,STEP_018,EQP_04
W0025,CLASS_01,STEP_019,EQP_04
W0026,CLASS_06,STEP_000,EQP_08
W0026,CLASS_06,STEP_001,EQP_05
W0026,CLASS_06,STEP_002,EQP_01
W0026,CLASS_06,STEP_003,EQP_02
W0026,CLASS_06,STEP_004,EQP_04
W0026,CLASS_06,STEP_005,EQP_04
W0026,CLASS_06,STEP_006,EQP_05
W0026,CLASS_06,STEP_007,EQP_04
W0026,CLASS_06,STEP_008,EQP_00
W0026,CLASS_06,STEP_009,EQP_08
W0026,CLASS_06,STEP_010,EQP_09
W0026,CLASS_06,STEP_011,EQP_04
W0026,CLASS_06,STEP_012,EQP_05
W0026,CLASS_06,STEP_013,EQP_00
W0026,CLASS_06,STEP_014,EQP_08
W0026,CLASS_06,STEP_015,EQP_00
W0026,CLASS_06,STEP_016,EQP_04
W0026,CLASS_06,STEP_017,EQP_00
W0026,CLASS_06,STEP_018,EQP_01
W0026,CLASS_06,STEP_019,EQP_00
W0027,CLASS_08,STEP_000,EQP_07
W0027,CLASS_08,STEP_001,EQP_00
W0027,CLASS_08,STEP_002,EQP_07
W0027,CLASS_08,STEP_003,EQP_03
W0027,CLASS_08,STEP_004,EQP_07
W0027,CLASS_08,STEP_005,EQP_06
W0027,CLASS_08,STEP_006,EQP_00
W0027,CLASS_08,STEP_007,EQP_08
W0027,CLASS_08,STEP_008,EQP_02
W0027,CLASS_08,STEP_009,EQP_04
W0027,CLASS_08,STEP_010,EQP_09
W0027,CLASS_08,STEP_011,EQP_06
W0027,CLASS_08,STEP_012,EQP_06
W0027,CLASS_08,STEP_013,EQP_00
W0027,CLASS_08,STEP_014,EQP_07
W0027,CLASS_08,STEP_015,EQP_04
W0027,CLASS_08,STEP_016,EQP_02
W0027,CLASS_08,STEP_017,EQP_04
W0027,CLASS_08,STEP_018,EQP_06
W0027,CLASS_08,STEP_019,EQP_05
W0028,CLASS_07,STEP_000,EQP_04
W0028,CLASS_07,STEP_001,EQP_03
W0028,CLASS_07,STEP_002,EQP_05
W0028,CLASS_07,STEP_003,EQP_09
W0028,CLASS_07,STEP_004,EQP_01
W0028,CLASS_07,STEP_005,EQP_08
W0028,CLASS_07,STEP_006,EQP_07
W0028,CLASS_07,STEP_007,EQP_05
W0028,CLASS_07,STEP_008,EQP_08
W0028,CLASS_07,STEP_009,EQP_05
W0028,CLASS_07,STEP_010,EQP_05
W0028,CLASS_07,STEP_011,EQP_01
W0028,CLASS_07,STEP_012,EQP_07
W0028,CLASS_07,STEP_013,EQP_04
W0028,CLASS_07,STEP_014,EQP_09
W0028,CLASS_07,STEP_015,EQP_02
W0028,CLASS_07,STEP_016,EQP_00
W0028,CLASS_07,STEP_017,EQP_00
W0028,CLASS_07,STEP_018,EQP_07
W0028,CLASS_07,STEP_019,EQP_01
W0029,CLASS_02,STEP_000,EQP_09
W0029,CLASS_02,STEP_001,EQP_00
W0029,CLASS_02,STEP_002,EQP_09
W0029,CLASS_02,STEP_003,EQP_02
W0029,CLASS_02,STEP_004,EQP_09
W0029,CLASS_02,STEP_005,EQP_09
W0029,CLASS_02,STEP_006,EQP_02
W0029,CLASS_02,STEP_007,EQP_05
W0029,CLASS_02,STEP_008,EQP_00
W0029,CLASS_02,STEP_009,EQP_09
W0029,CLASS_02,STEP_010,EQP_03
W0029,CLASS_02,STEP_011,EQP_04
W0029,CLASS_02,STEP_012,EQP_03
W0029,CLASS_02,STEP_013,EQP_07
W0029,CLASS_02,STEP_014,EQP_09
W0029,CLASS_02,STEP_015,EQP_00
W0029,CLASS_02,STEP_016,EQP_01
W0029,CLASS_02,STEP_017,EQP_05
W0029,CLASS_02,STEP_018,EQP_09
W0029,CLASS_02,STEP_019,EQP_02
W0030,CLASS_08,STEP_000,EQP_03
W0030,CLASS_08,STEP_001,EQP_01
W0030,CLASS_08,STEP_002,EQP_06
W0030,CLASS_08,STEP_003,EQP_00
W0030,CLASS_08,STEP_004,EQP_04
W0030,CLASS_08,STEP_005,EQP_04
